schedule_id,po_number,item_original,item_code,match_source
1105,PO-MRP002390,BR10 WIRE SWM-B Ø10.0 mm CARRER,BR10,code_token
1106,PO-MRP002390,BR10 WIRE SWM-B Ø10.0 mm CARRER,BR10,code_token
1107,PO-MRP002539,BR45 WIRE SWM-B Ø4.5 mm CARRER,BR45,code_token
1108,PO-MRP002408,DT18 STKM-11A Ø12 X 0.8 X 874,DT18,code_token
1109,PO-MRP002541,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
1110,PO-MRP002541,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
1111,PO-MRP002541,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
1112,PO-MRP002541,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
1113,PO-MRP002541,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
1114,PO-MRP002327,STKM-370G D22.2X1.6X733,VT8,name_fuzzy
1117,PO-MRP002408,DT18 STKM-11A Ø12 X 0.8 X 874,DT18,code_token
1118,PO-MRP002540,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
1119,PO-MRP002496,"STKM-370G D22,2 X 1,6 X 733",VT8,name_fuzzy
1120,PO-MRP002390,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
1121,PO-MRP002541,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
1122,PO-MRP002541,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
1123,PO-MRP002327,STKM-370G D22.2X1.6X733,VT8,name_fuzzy
1124,PO-MRP002407,B73 STKM-370G D25.4 X 1.2 X 607.5,B73,code_token
1125,PO-MRP002496,STKM-370G D25.4 X 1.2 X 1136,VT1,name_fuzzy
1126,PO-MRP002407,B61 STKM-370G D25.4 X 1.6 X 569.5,B61,code_token
1127,PO-MRP002407,B73 STKM-370G D25.4 X 1.2 X 607.5,B73,code_token
1128,PO-MRP002496,STKM-370G D25.4 X 1.2 X 607.5,B73,name_fuzzy
1129,PO-MRP002496,STKM-370G D12.0 X 0.7 X 637,M69,name_fuzzy
1130,PO-MRP002539,BR70 WIRE SWM-B Ø7.0 mm CARRER,BR70,code_token
1131,PO-MRP002539,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
1132,PO-MRP002541,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
1142,PO-MRP002625,B61 STKM-370G D25.4 X 1.6 X 569.5,B61,code_token
1143,PO-MRP002625,B61 STKM-370G D25.4 X 1.6 X 569.5,B61,code_token
1144,PO-MRP002625,B73 STKM-370G D25.4 X 1.2 X 607.5,B73,code_token
1145,PO-MRP002625,B73 STKM-370G D25.4 X 1.2 X 607.5,B73,code_token
1146,PO-MRP002625,C13 STKM-370G D22.2 X 1.6 X 757,C13,code_token
1147,PO-MRP002625,C13 STKM-370G D22.2 X 1.6 X 757,C13,code_token
1148,PO-MRP002625,C13 STKM-370G D22.2 X 1.6 X 757,C13,code_token
1149,PO-MRP002625,"C69 STKM-370G D25,4 X 1,6 X 681",C69,code_token
1150,PO-MRP002625,"C69 STKM-370G D25,4 X 1,6 X 681",C69,code_token
1151,PO-MRP002625,M69 STKM-370G D12.0 X 0.7 X 637,M69,code_token
1152,PO-MRP002625,M69 STKM-370G D12.0 X 0.7 X 637,M69,code_token
1153,PO-MRP002625,VT1 STKM-370G D25.4 X 1.2 X 1136,VT1,code_token
1154,PO-MRP002625,"VT8 STKM-370G D22,2 X 1,6 X 733",VT8,code_token
1155,PO-MRP002625,"VT8 STKM-370G D22,2 X 1,6 X 733",VT8,code_token
1156,PO-MRP002625,"VT8 STKM-370G D22,2 X 1,6 X 733",VT8,code_token
1157,PO-MRP002589,SR20 WIRE SWB Ø2.0 mm CARRER,SR20,code_token
1158,PO-MRP002589,"SR40 WIRE SWB Ø4,0 mm CARRER",SR40,code_token
1159,PO-MRP002589,CR38 WIRE SWC Ø3.8 mm CARRER,CR38,code_token
1160,PO-MRP002589,CR38 WIRE SWC Ø3.8 mm CARRER,CR38,code_token
1161,PO-MRP002589,SR38 WIRE SWB Ø3.8 mm CARRER,SR38,code_token
1162,PO-MRP002589,SR38 WIRE SWB Ø3.8 mm CARRER,SR38,code_token
1163,PO-MRP002589,SR45 WIRE SWB Ø4.5 mm CARRER,SR45,code_token
1164,PO-MRP002589,SR60 WIRE SWB Ø6.0 mm CARRER,SR60,code_token
1165,PO-MRP002589,SR60 WIRE SWB Ø6.0 mm CARRER,SR60,code_token
1166,PO-MRP002589,SR50 WIRE SWB Ø5.0 mm CARER,SR50,code_token
1167,PO-MRP002589,SL32 WIRE SWB Ø3.2 mm COIL,SL32,code_token
1168,PO-MRP002589,SL38 WIRE SWB Ø3.8 mm COIL,SL38,code_token
1169,PO-MRP002589,SL40 WIRE SWB Ø4.0 mm COIL,SL40,code_token
1170,PO-MRP002589,SL45 WIRE SWB Ø4.5 mm COIL,SL45,code_token
1171,PO-MRP002589,SR23 WIRE SWB Ø2.3 mm CARRER,SR23,code_token
1172,PO-MRP002589,SR23 WIRE SWB Ø2.3 mm CARRER,SR23,code_token
