schedule_id,po_number,item_original,item_code,match_source
295,PO-MRP002408,"DT77 STKM-11A D12,0 X 0,8 X 766",DT77,code_token
296,PO-MRP002408,"DT77 STKM-11A D12,0 X 0,8 X 766",DT77,code_token
298,PO-MRP002389,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
300,PO-MRP002389,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
301,PO-MRP002407,B61 STKM-370G D25.4 X 1.6 X 569.5,B61,code_token
302,PO-MRP002407,B73 STKM-370G D25.4 X 1.2 X 607.5,B73,code_token
303,PO-MRP002407,C13 STKM-370G D22.2 X 1.6 X 757,C13,code_token
304,PO-MRP002389,BL50 WIRE SWM-B Ø 5.0 mm COIL,BL50,code_token
307,PO-MRP002385,SR23 WIRE SWB Ø2.3 mm CARRER,SR23,code_token
308,PO-MRP002385,CR38 WIRE SWC Ø3.8 mm CARRER,CR38,code_token
309,PO-MRP002385,SR38 WIRE SWB Ø3.8 mm CARRER,SR38,code_token
310,PO-MRP002385,SR60 WIRE SWB Ø6.0 mm CARRER,SR60,code_token
311,PO-MRP002385,"SR40 WIRE SWB Ø4,0 mm CARRER",SR40,code_token
312,PO-MRP002386,SL38 WIRE SWB Ø3.8 mm COIL,SL38,code_token
313,PO-MRP002386,SL32 WIRE SWB Ø3.2 mm COIL,SL32,code_token
314,PO-MRP002386,SL40 WIRE SWB Ø4.0 mm COIL,SL40,code_token
324,IST2601-020101-2MR,STKM-370G D25.4X1.2X1065,B56,name_fuzzy
325,IST2601-020101-2MR,STKM-370G D12X2.0X675.3,B65,name_fuzzy
326,IST2601-020101-2MR,STKM-370G D31.8X1.6X886,C31,name_fuzzy
327,IST2601-020101-2MR,STKM-370G D25.4X1.6X446.6,VT6,name_fuzzy
328,IST3201-020101-2BT,STKM-600  12.0 x 2.00 x 233.0,5X7,name
329,IST3201-020101-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
332,IST2701-020101-2MR,STKM-13AC  8.0 x 1.00 x 516.0,FP9,name
333,IST3201-020101-2BT,STKM-650  12.0 x 2.00 x 762.0,FP8,name
334,IST3201-020101-2BT,STKM-650  12.0 x 2.00 x 1002.0,FP6,name
336,IST3201-020101-2BT,STKM-410G D12X2.0X952,C99,name_fuzzy
338,IST2601-030102-2MR,STKM-370 28.6 X 1.60 X 1115.5,DF3,name_fuzzy
343,IST3201-030102-2BT,STKM-650  12.0 x 2.00 x 1002.0,FP6,name
357,IST2601-050103-2MR,STKM-370G D25.4X1.2X1065,B56,name_fuzzy
359,IST2601-050103-2MR,STKM-370G D31.8X1.6X886,C31,name_fuzzy
360,IST2601-050103-2MR,STKM-370G D25.4X1.6X446.6,VT6,name_fuzzy
361,IST3201-050103-2BT,STKM-600  12.0 x 2.00 x 233.0,5X7,name
364,IST3201-050103-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
368,IST2701-050103-2MR,STKM-13AC  8.0 x 1.00 x 516.0,FP9,name
369,IST2701-050103-2MR,STKM-13B  12.0 x 1.60 x 1018.0,FP0,name
375,IST3201-050103-2BT,STKM-410G D12X2.0X952,C99,name_fuzzy
381,IST2601-060104-2MR,STKM-370G D25.4 X 1.2 X 477.0,B47,name_fuzzy
386,IST2601-060104-2MR,STKM-370G D12.0X2.0X412,M43,name_fuzzy
394,IST2601-060105-2MR,STKM-370 28.6 X 1.60 X 1115.5,DF3,name_fuzzy
401,IST2601-060105-2MR,STKM-370G D25.4 X 1.2 X 446.5,B44,name_fuzzy
403,IST2601-060105-2MR,STKM-370G D25.4X1.6X446.6,VT6,name_fuzzy
404,IST3201-060105-2BT,STKM-600  12.0 x 2.00 x 1074.0,B16,name
406,IST2701-060105-2MR,STKM-13AC  8.0 x 1.00 x 516.0,FP9,name
407,IST2601-060105-2MR,STKM-550 28.6x1.2x445.6,AJ7,name_fuzzy
429,IST2601-070106-2MR,STKM-370G D25.4 X 1.2 X 446.5,B44,name_fuzzy
432,IST3201-070106-2BT,STKM-600  12.0 x 2.00 x 233.0,5X7,name
434,IST3201-070106-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
447,IST2601-080107-2MR,STKM-370G D31.8X1.6X886,C31,name_fuzzy
449,IST2601-080107-2MR,STKM-370G D12X1.2X565,VT3,name_fuzzy
450,IST3201-080107-2BT,STKM-600  12.0 x 2.00 x 233.0,5X7,name
451,IST3201-080107-2BT,STKM-600  12.0 x 2.00 x 603.0,B15,name
453,IST3201-080107-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
462,IST3201-090108-2BT,STKM-650 14.0 X 1.35 X 739.5,R26,name_fuzzy
463,IST2601-090108-2MR,STKM-370G D25.4 X 1.2 X 641.7,C75,name_fuzzy
465,IST2601-090108-2MR,STKM-370G D25.4 X 1.2 X 446.5,B44,name_fuzzy
466,IST2601-090108-2MR,STKM-370G D31.8X1.6X886,C31,name_fuzzy
468,IST2601-090108-2MR,STKM-370G D12X1.2X565,VT3,name_fuzzy
476,IST2701-090108-2MR,STKM-13AC  8.0 x 1.00 x 516.0,FP9,name
477,IST2601-090108-2MR,STKM-370G D12X2.0X675.3,B65,name_fuzzy
486,IST2601-090108-2MR,STKM-370 D22.2 X 2.0 X 417,DY17,name_fuzzy
487,IST3201-090108-2BT,STKM-600  12.0 x 2.00 x 233.0,5X7,name
488,IST3201-090108-2BT,STKM-600  12.0 x 2.00 x 603.0,B15,name
490,IST3201-090108-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
495,IST2601-090109-2MR,STKM-370 28.6 X 1.60 X 1115.5,DF3,name_fuzzy
499,IST2601-090109-2MR,STKM-370G Ø25.4X1.2X204.3,VT2,name_fuzzy
503,IST2601-100110-2MR,STKM-370 28.6 X 1.60 X 1115.5,DF3,name_fuzzy
508,IST3201-120110-2BT,STKM-650 14.0 X 1.35 X 739.5,R26,name_fuzzy
511,IST2601-100110-2MR,STKM-370G D25.4X1.2X1065,B56,name_fuzzy
512,IST3201-100110-2BT,STKM-14A D12.0X1.5X659,C72,name_fuzzy
515,IST2601-100110-2MR,STKM-370G D12.0X2.0X412,M43,name_fuzzy
517,IST3201-120110-2BT,STKM-600  12.0 x 2.00 x 1074.0,B16,name
518,IST3201-120110-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
519,IST2701-100110-2MR,STKM-13AC  8.0 x 1.00 x 516.0,FP9,name
520,IST2601-100110-2MR,STKM-550 25.4x1.20x230.4,AJ8,name_fuzzy
522,IST3201-100110-2BT,STKM-410G D12X2.0X952,C99,name_fuzzy
527,IST2601-120111-2MR,STKM-370 28.6 X 1.60 X 1115.5,DF3,name_fuzzy
532,IST3201-120111-2BT,STKM-650 14.0 X 1.35 X 739.5,R26,name_fuzzy
537,IST2601-120111-2MR,STKM-370G D25.4X1.2X1065,B56,name_fuzzy
539,IST2601-120111-2MR,STKM-370G D12.0X2.0X412,M43,name_fuzzy
540,IST2601-120111-2MR,STKM-550 28.6x1.2x445.6,AJ7,name_fuzzy
546,IST2601-130112-2MR,STKM-370 28.6 X 1.60 X 1115.5,DF3,name_fuzzy
554,IST2601-130112-2MR,STKM-370G D25.4 X 1.2 X 446.5,B44,name_fuzzy
557,IST2601-130112-2MR,STKM-370G D12.0X2.0X412,M43,name_fuzzy
559,IST3201-130112-2BT,STKM-600  12.0 x 2.00 x 233.0,5X7,name
560,IST3201-130112-2BT,STKM-600  12.0 x 2.00 x 1074.0,B16,name
561,IST3201-130112-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
562,IST2601-130112-2MR,STKM-550 28.6x1.2x445.6,AJ7,name_fuzzy
563,IST2601-130112-2MR,STKM-550 25.4x1.20x230.4,AJ8,name_fuzzy
589,IST2601-140113-2MR,STKM-370 D22.2 X 2.0 X 417,DY17,name_fuzzy
591,IST2601-140113-2MR,STKM-370G D12X2.0X579.0,B57,name_fuzzy
592,IST3201-140113-2BT,STKM-14A D12.0X1.5X659,C72,name_fuzzy
595,IST2601-140113-2MR,STKM-370G D12X1.2X565,VT3,name_fuzzy
597,IST3201-140113-2BT,STKM-600  12.0 x 2.00 x 1074.0,B16,name
600,IST2701-140113-2MR,STKM-13AC  8.0 x 1.00 x 516.0,FP9,name
601,IST3201-140113-2BT,STKM-650  12.0 x 2.00 x 1002.0,FP6,name
602,IST2601-140113-2MR,STKM-550 28.6x1.2x445.6,AJ7,name_fuzzy
603,IST2601-140113-2MR,STKM-550 25.4x1.20x230.4,AJ8,name_fuzzy
615,IST2601-150115-2MR,STKM-370 28.6 X 1.60 X 1115.5,DF3,name_fuzzy
626,IST3201-150115-2BT,STKM-650 14.0 X 1.35 X 739.5,R26,name_fuzzy
627,IST2601-150116-2MR,STKM-370G D25.4 X 1.2 X 641.7,C75,name_fuzzy
636,IST2601-150115-2MR,STKM-370 D22.2 X 2.0 X 417,DY17,name_fuzzy
638,IST2601-150116-2MR,STKM-370G D12X2.0X579.0,B57,name_fuzzy
639,IST2601-150116-2MR,STKM-370G D31.8X1.6X886,C31,name_fuzzy
640,IST3201-150115-2BT,STKM-14A D12.0X1.5X659,C72,name_fuzzy
642,IST2601-150116-2MR,STKM-370G D12.0X2.0X412,M43,name_fuzzy
643,IST2601-150116-2MR,STKM-370G D12X1.2X565,VT3,name_fuzzy
644,IST3201-150115-2BT,STKM-600  12.0 x 2.00 x 233.0,5X7,name
648,IST3201-150115-2BT,STKM-600  12.0 x 2.00 x 1074.0,B16,name
649,IST3201-150115-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
653,IST2701-150115-2MR,STKM-13AC  8.0 x 1.00 x 516.0,FP9,name
656,IST2601-150115-2MR,STKM-550 28.6x1.2x445.6,AJ7,name_fuzzy
657,IST2601-150115-2MR,STKM-550 25.4x1.20x230.4,AJ8,name_fuzzy
673,IST7802-280117-2MR,STKM-370 28.6 X 1.60 X 1115.5,DF3,name_fuzzy
680,IST3201-170117-2BT,STKM-650 14.0 X 1.35 X 739.5,R26,name_fuzzy
689,IST2601-170117-2MR,STKM-370 D22.2 X 2.0 X 417,DY17,name_fuzzy
690,IST2601-170117-2MR,STKM-370G D25.4 X 1.2 X 446.5,B44,name_fuzzy
691,IST7802-280117-2MR,STKM-370G D31.8X1.6X886,C31,name_fuzzy
694,IST2601-170117-2MR,STKM-370G D12.0X2.0X412,M43,name_fuzzy
695,IST2601-170117-2MR,STKM-370G D12X1.2X565,VT3,name_fuzzy
696,IST3201-170117-2BT,STKM-600  12.0 x 2.00 x 233.0,5X7,name
699,IST3201-170117-2BT,STKM-600  12.0 x 2.00 x 1074.0,B16,name
700,IST3201-170117-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
704,IST2702-190117-2MR,STKM-13AC  8.0 x 1.00 x 516.0,FP9,name
707,IST2601-170117-2MR,STKM-550 28.6x1.2x445.6,AJ7,name_fuzzy
712,IST3201-170117-2BT,STKM-410G D12X2.0X952,C99,name_fuzzy
731,IST2601-190118-2MR,STKM-370G D25.4 X 1.2 X 446.5,B44,name_fuzzy
732,IST2602-190118-2MR,STKM-370G D25.4X1.2X1065,B56,name_fuzzy
733,IST3201-190118-2BT,STKM-14A D12.0X1.5X659,C72,name_fuzzy
734,IST2602-190118-2MR,STKM-370G D12.0X2.0X412,M43,name_fuzzy
736,IST3201-190118-2BT,STKM-600  12.0 x 2.00 x 1074.0,B16,name
737,IST3201-190118-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
739,IST2601-190118-2MR,STKM-550 28.6x1.2x445.6,AJ7,name_fuzzy
740,IST3201-190118-2BT,STKM-410G D12X2.0X952,C99,name_fuzzy
743,IST2602-200119-2MR,STKM-370 28.6 X 1.60 X 1115.5,DF3,name_fuzzy
747,IST3201-200119-2BT,STKM-650 14.0 X 1.35 X 739.5,R26,name_fuzzy
755,IST2601-200119-2MR,STKM-370G D25.4 X 1.2 X 446.5,B44,name_fuzzy
756,IST2602-200119-2MR,STKM-370G D25.4X1.2X1065,B56,name_fuzzy
757,IST3201-200119-2BT,STKM-14A D12.0X1.5X659,C72,name_fuzzy
760,IST2602-200119-2MR,STKM-370G Ø25.4X1.2X204.3,VT2,name_fuzzy
762,IST2702-200119-2MR,STKM-13AC  8.0 x 1.00 x 516.0,FP9,name
763,IST2601-200119-2MR,STKM-550 28.6x1.2x445.6,AJ7,name_fuzzy
764,IST2601-200119-2MR,STKM-550 25.4x1.20x230.4,AJ8,name_fuzzy
768,IST3201-200119-2BT,STKM-410G D12X2.0X952,C99,name_fuzzy
775,IST3201-200119-2BT,STKM-650  14.0 x 2.30 x 735.0,B13,name
779,IST4801-210121-2MR,STKM-370G D25.4 X 1.2 X 477.0,B47,name_fuzzy
783,IST3201-210121-2BT,STKM-650 14.0 X 1.35 X 739.5,R26,name_fuzzy
789,IST2602-210121-2MR,STKM-370G D25.4 X 1.2 X 446.5,B44,name_fuzzy
790,IST2602-210121-2MR,STKM-370G D31.8X1.6X886,C31,name_fuzzy
791,IST3201-210121-2BT,STKM-14A D12.0X1.5X659,C72,name_fuzzy
794,IST4901-210121-2MR,STKM-13B  12.0 x 1.60 x 1018.0,FP0,name
795,IST3201-210121-2BT,STKM-600  12.0 x 2.00 x 1074.0,B16,name
798,IST3201-210121-2BT,STKM-410G D12X2.0X952,C99,name_fuzzy
801,IST3201-210121-2BT,STKM-600  12.0 x 2.00 x 233.0,5X7,name
811,IST2602-220122-2MR,STKM-370 28.6 X 1.60 X 1115.5,DF3,name_fuzzy
825,IST2602-220122-2MR,STKM-370G D25.4 X 1.2 X 446.5,B44,name_fuzzy
826,IST2602-220122-2MR,STKM-370G D31.8X1.6X886,C31,name_fuzzy
